"","date","ccode","icews_violence","precip_mean","panel_precip_mean","panel_precip_sd","temp_mean","panel_temp_mean","panel_temp_sd","country","DEMOC_lag","gdp_pc_lag","icews_lag","population_lag","year","El_Nino","dev","posDev","posDev_sq","negDev","negDev_sq","preDev","posPreDev","posPreDev_sq","negPreDev","negPreDev_sq"
"2702",2013-06-01,"710",160,21.46583636,13.1754084539229,7.08784476649258,16.89019932,4.89314997808458,10.1552391881581,"China",0,7.21084799513335,4,21.0238851117399,"2013",0,1.18137,1.18137,1.3956350769,0,0,1.16967,1.16967,1.3681279089,0,0
"2703",2013-06-01,"712",0,12.81186993,7.53247700248134,5.41165629117346,13.06233829,-1.88860533222886,13.2485440103907,"Mongolia",10,7.38193144109266,0,14.8438734717899,"2013",0,1.1285,1.1285,1.27351225,0,0,0.97556,0.97556,0.9517173136,0,0
"2704",2013-06-01,"731",0,24.33466816,14.5758587751915,11.0900315879138,18.81500816,4.99121386711816,12.0503586095168,"Korea, Dem. Rep.",0,5.89480811714042,0,17.0248687535505,"2013",0,1.14717,1.14717,1.3159990089,0,0,0.87996,0.87996,0.7743296016,0,0
"2705",2013-06-01,"732",0,31.92333412,18.8987078944888,12.9498191558029,20.8986721,10.9896842049017,8.92740833094443,"Korea, Rep.",8,9.97871166942565,2,17.7276223794482,"2013",0,1.10995,1.10995,1.2319890025,0,0,1.00578,1.00578,1.0115934084,0,0
"2706",2013-06-01,"740",1,29.22649638,19.5072171260721,12.0536055174272,18.75683626,10.9805557514975,8.03231154680616,"Japan",10,10.5128908846432,0,18.6641090729762,"2013",0,0.96812,0.96812,0.9372563344,0,0,0.80634,0.80634,0.6501841956,0,0
"2707",2013-06-01,"750",30,39.39071068,25.6077314514925,11.4684970241172,27.27240027,21.944272463097,4.0341977975992,"India",9,7.11248228194876,19,20.9357016501029,"2013",0,1.32074,1.32074,1.7443541476,0,0,1.20181,1.20181,1.4443472761,0,0
"2708",2013-06-01,"771",0,41.53599739,24.4840042819726,11.667017045515,21.89983702,17.0301580431915,4.10962004005244,"Bangladesh",6,6.403040943197,0,18.8569683732721,"2013",0,1.18495,1.18495,1.4041065025,0,0,1.46156,1.46156,2.1361576336,0,0
"2709",2013-06-01,"775",2,48.60936217,32.6279662401617,12.3733782754308,24.47251719,22.0355975419154,2.67544892829707,"Myanmar",0,5.88285988600732,37,17.7819709708722,"2013",0,0.91085,0.91085,0.8296477225,0,0,1.2916,1.2916,1.66823056,0,0
"2710",2013-06-01,"780",0,46.52000809,43.0676639614801,4.70746082075126,27.37067032,26.3766375467164,1.2094346923602,"Sri Lanka",5,7.52497182735227,0,16.8275098039821,"2013",0,0.8219,0.8219,0.67551961,0,0,0.73338,0.73338,0.5378462244,0,0
"2711",2013-06-01,"790",0,14.08183146,8.9585660302301,5.87868047484117,11.47017193,3.50637321689801,6.36964608598117,"Nepal",6,5.9944999356515,1,17.1287643828376,"2013",0,1.25027,1.25027,1.5631750729,0,0,0.8715,0.8715,0.75951225,0,0
